circuit_type,design,platform,status,critical_path_ns,die_area,total_power_mw,config_hash,param_hash,tag,result_path,params_json,metrics_path,design_path
multipliers,mult16s_booth4_sklansky_wrapper,asap7,ok,0.6514865,1418.124964,0.28,c2cdd8524fc7,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,asap7,ok,0.6531371,322.058916,0.265,c2cdd8524fc7,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,nangate45,ok,0.2169,18090.25,0.00278,c2cdd8524fc7,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,nangate45,ok,0.1971,3752.175025,0.00271,c2cdd8524fc7,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,nangate45,ok,0.1986,3146.649025,0.00271,c2cdd8524fc7,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,sky130hd,ok,5.847,21975.0976,0.00544,c2cdd8524fc7,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,sky130hd,ok,5.7943,86718.4704,0.00554,c2cdd8524fc7,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,sky130hd,ok,5.7786,17635.84,0.00547,c2cdd8524fc7,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
multipliers,mult16s_normal_brentkung_wrapper,asap7,ok,1.0064623,238.826116,0.256,4c7b95ac984e,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,asap7,ok,1.0067056,1221.852025,0.248,4c7b95ac984e,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,asap7,ok,1.0118069,280.160644,0.226,4c7b95ac984e,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,nangate45,ok,0.2129,18254.7121,0.00244,4c7b95ac984e,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,nangate45,ok,2.2587,3785.9409,0.0024,4c7b95ac984e,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,nangate45,ok,2.2636,3174.1956,0.00241,4c7b95ac984e,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,sky130hd,ok,9.9125,22056.705225,0.0051,4c7b95ac984e,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_brentkung_wrapper,sky130hd,ok,9.8921,87045.651225,0.00542,4c7b95ac984e,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
