design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult16s_normal_ripple_wrapper,16,True,normal,ripple,ok,2.5324,18773.110225,0.0022,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/231d5c19/result.json
mult16s_normal_sklansky_wrapper,16,True,normal,sklansky,ok,0.2179,18910.375225,0.00334,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/231d5c19/result.json
mult32u_booth4_brentkung_wrapper,32,False,booth4,brentkung,ok,3.7682,63983.7025,0.0176,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/231d5c19/result.json
mult32u_booth4_koggestone_wrapper,32,False,booth4,koggestone,ok,0.2913,67114.674225,0.0286,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/231d5c19/result.json
mult32u_booth4_ripple_wrapper,32,False,booth4,ripple,ok,4.8925,64049.4864,0.0146,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/231d5c19/result.json
mult32u_booth4_sklansky_wrapper,32,False,booth4,sklansky,ok,0.2714,64368.7641,0.0218,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/231d5c19/result.json
mult32u_normal_brentkung_wrapper,32,False,normal,brentkung,ok,3.722,66923.103025,0.0199,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/231d5c19/result.json
mult32u_normal_koggestone_wrapper,32,False,normal,koggestone,ok,0.2858,70439.814025,0.0305,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/231d5c19/result.json
mult32u_normal_ripple_wrapper,32,False,normal,ripple,ok,4.9848,69074.3524,0.0156,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/231d5c19/result.json
mult32u_normal_sklansky_wrapper,32,False,normal,sklansky,ok,0.2802,68612.5636,0.0251,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_sklansky_wrapper/work/231d5c19/result.json
mult32s_booth4_brentkung_wrapper,32,True,booth4,brentkung,ok,3.6403,61065.823225,0.016,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_brentkung_wrapper/work/231d5c19/result.json
mult32s_booth4_koggestone_wrapper,32,True,booth4,koggestone,ok,0.2814,64358.6161,0.0273,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_koggestone_wrapper/work/231d5c19/result.json
mult32s_booth4_ripple_wrapper,32,True,booth4,ripple,ok,4.8082,63340.305625,0.0137,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_ripple_wrapper/work/231d5c19/result.json
mult32s_booth4_sklansky_wrapper,32,True,booth4,sklansky,ok,0.2778,62085.6889,0.0202,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_sklansky_wrapper/work/231d5c19/result.json
mult32s_normal_brentkung_wrapper,32,True,normal,brentkung,ok,3.7402,66902.409025,0.0197,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_brentkung_wrapper/work/231d5c19/result.json
mult32s_normal_koggestone_wrapper,32,True,normal,koggestone,ok,0.2839,71208.9225,0.0325,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_koggestone_wrapper/work/231d5c19/result.json
mult32s_normal_ripple_wrapper,32,True,normal,ripple,ok,4.9079,70915.69,0.016,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_ripple_wrapper/work/231d5c19/result.json
mult32s_normal_sklansky_wrapper,32,True,normal,sklansky,ok,0.2808,68623.0416,0.0243,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/231d5c19/result.json
