design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult4s_normal_ripple_wrapper,asap7,0.3407655,50.0,0.68,1.0,41.254929,0.0424," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_sklansky_wrapper,asap7,0.3163317,50.0,0.68,1.0,42.094144,0.041," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_brentkung_wrapper,asap7,0.41113010000000005,60.0,0.68,1.0,45.468049,0.0476," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_koggestone_wrapper,asap7,0.3338333,60.0,0.68,1.0,49.1401,0.0507," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_ripple_wrapper,asap7,0.4062448,60.0,0.68,1.0,44.849809,0.0465," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_sklansky_wrapper,asap7,0.3065591,50.0,0.68,1.0,54.066609,0.0456," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_brentkung_wrapper,asap7,0.2913962,60.0,0.68,1.0,36.192256,0.0394," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_koggestone_wrapper,asap7,0.2900793,60.0,0.68,1.0,38.539264,0.0446," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_ripple_wrapper,asap7,0.32184480000000004,60.0,0.68,1.0,35.940025,0.042," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_sklansky_wrapper,asap7,0.30568239999999997,50.0,0.68,1.0,41.886784,0.0431," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
