design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult4u_normal_ripple_wrapper,4,False,normal,ripple,ok,1.3578,6820.282225,0.000302,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_ripple_wrapper/work/b1b86ede/result.json
mult4u_normal_sklansky_wrapper,4,False,normal,sklansky,ok,1.3587,7537.7124,0.000312,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_sklansky_wrapper/work/b1b86ede/result.json
mult8s_booth4_brentkung_wrapper,8,True,booth4,brentkung,ok,5.8613,26268.305625,0.00118,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult8s_booth4_koggestone_wrapper,8,True,booth4,koggestone,ok,4.8066,28954.4256,0.00153,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult8s_booth4_ripple_wrapper,8,True,booth4,ripple,ok,5.8906,26320.195225,0.00116,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_ripple_wrapper/work/b1b86ede/result.json
mult8s_booth4_sklansky_wrapper,8,True,booth4,sklansky,ok,4.7461,27459.8041,0.00136,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult8s_normal_brentkung_wrapper,8,True,normal,brentkung,ok,5.8755,23975.4256,0.00117,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_brentkung_wrapper/work/b1b86ede/result.json
mult8s_normal_koggestone_wrapper,8,True,normal,koggestone,ok,4.221,27193.659025,0.00147,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_koggestone_wrapper/work/b1b86ede/result.json
mult8s_normal_ripple_wrapper,8,True,normal,ripple,ok,5.9332,23163.318025,0.00112,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_ripple_wrapper/work/b1b86ede/result.json
mult8s_normal_sklansky_wrapper,8,True,normal,sklansky,ok,4.3414,25609.6009,0.00134,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_sklansky_wrapper/work/b1b86ede/result.json
mult8u_booth4_brentkung_wrapper,8,False,booth4,brentkung,ok,6.2634,30562.0324,0.00138,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult8u_booth4_koggestone_wrapper,8,False,booth4,koggestone,ok,5.1344,32118.016225,0.00173,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult8u_booth4_ripple_wrapper,8,False,booth4,ripple,ok,6.3864,27256.359025,0.00128,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_ripple_wrapper/work/b1b86ede/result.json
mult8u_booth4_sklansky_wrapper,8,False,booth4,sklansky,ok,5.1172,30005.1684,0.00145,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult8u_normal_brentkung_wrapper,8,False,normal,brentkung,ok,5.9641,23454.9225,0.00109,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_brentkung_wrapper/work/b1b86ede/result.json
mult8u_normal_koggestone_wrapper,8,False,normal,koggestone,ok,4.2057,25419.519225,0.00128,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_koggestone_wrapper/work/b1b86ede/result.json
mult8u_normal_ripple_wrapper,8,False,normal,ripple,ok,6.024,22441.538025,0.00104,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_ripple_wrapper/work/b1b86ede/result.json
mult8u_normal_sklansky_wrapper,8,False,normal,sklansky,ok,4.1373,25445.035225,0.00122,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_sklansky_wrapper/work/b1b86ede/result.json
