design,platform,core_util,place_density,clock_period,critical_path_ns,die_area,total_power_mw,result_path,tag
mult16u_normal_koggestone_wrapper,asap7,60.0,0.68,1.0,0.6745887,260.241424,0.263,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_ripple_wrapper,asap7,60.0,0.68,1.0,1.1542661,239.0116,0.228,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_sklansky_wrapper,asap7,60.0,0.68,1.0,0.6589856,249.387264,0.262,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_booth4_brentkung_wrapper,asap7,60.0,0.68,1.0,1.7181619000000001,814.759936,0.77,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_booth4_koggestone_wrapper,asap7,60.0,0.68,1.0,0.8766577999999999,869.837049,0.85,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_booth4_ripple_wrapper,asap7,60.0,0.68,1.0,2.18124,823.345636,0.696,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_booth4_sklansky_wrapper,asap7,60.0,0.68,1.0,0.8880742,839.8404,0.742,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_brentkung_wrapper,asap7,60.0,0.68,1.0,1.7484149,767.179204,0.7,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_koggestone_wrapper,asap7,60.0,0.68,1.0,0.8810175,818.760996,0.802,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_ripple_wrapper,asap7,60.0,0.68,1.0,2.2238516,764.411904,0.69,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
