design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult4s_normal_sklansky_wrapper,asap7,0.3163317,50.0,0.68,1.0,42.094144,0.041,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_brentkung_wrapper,asap7,0.4089543,10.0,0.55,1.0,185.477161,0.0512,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4u_booth4_koggestone_wrapper,asap7,0.3318948,10.0,0.55,1.0,203.689984,0.0518,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4u_booth4_ripple_wrapper,asap7,0.4062448,60.0,0.68,1.0,44.849809,0.0465,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_sklansky_wrapper,asap7,0.3065591,50.0,0.68,1.0,54.066609,0.0456,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_brentkung_wrapper,asap7,0.2913962,60.0,0.68,1.0,36.192256,0.0394,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_koggestone_wrapper,asap7,0.2855133,10.0,0.55,1.0,151.511481,0.0413,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4u_normal_ripple_wrapper,asap7,0.32184480000000004,60.0,0.68,1.0,35.940025,0.042,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_sklansky_wrapper,asap7,0.30568239999999997,50.0,0.68,1.0,41.886784,0.0431,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_brentkung_wrapper,asap7,0.615815,50.0,0.68,1.0,115.1329,0.123,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_koggestone_wrapper,asap7,0.4765508,50.0,0.68,1.0,130.051216,0.112,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_ripple_wrapper,asap7,0.6168932,50.0,0.68,1.0,111.830625,0.1,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_sklansky_wrapper,asap7,0.4667689,50.0,0.68,1.0,121.925764,0.121,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_brentkung_wrapper,asap7,0.6112664,50.0,0.68,1.0,100.140049,0.111,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_koggestone_wrapper,asap7,0.4947813,50.0,0.68,1.0,113.316025,0.112,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_ripple_wrapper,asap7,0.6013685000000001,10.0,0.55,1.0,407.070976,0.102,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_ripple_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8s_normal_sklansky_wrapper,asap7,0.4851742,60.0,0.68,1.0,93.161104,0.0983,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_brentkung_wrapper,asap7,0.7225064999999999,10.0,0.55,1.0,483.428169,0.114,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8u_booth4_koggestone_wrapper,asap7,0.5313857000000001,50.0,0.68,1.0,126.765081,0.113,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_booth4_ripple_wrapper,asap7,0.6891868,50.0,0.68,1.0,113.806224,0.105,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_booth4_sklansky_wrapper,asap7,0.5154572,50.0,0.68,1.0,125.798656,0.109,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_brentkung_wrapper,asap7,0.595315,60.0,0.68,1.0,87.216921,0.109,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_normal_koggestone_wrapper,asap7,0.49343380000000003,50.0,0.68,1.0,109.851361,0.0997,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_ripple_wrapper,asap7,0.5916427999999999,50.0,0.68,1.0,104.898564,0.118,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_sklansky_wrapper,asap7,0.4707169,10.0,0.55,1.0,434.680801,0.109,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult8u_normal_sklansky_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16s_booth4_brentkung_wrapper,nangate45,0.1963,60.0,0.68,2.5,3071.3764,0.00211,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_booth4_koggestone_wrapper,nangate45,0.1939,60.0,0.68,2.5,3312.0025,0.00321,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_booth4_ripple_wrapper,nangate45,2.4681,10.0,0.55,2.5,18573.601225,0.00196,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_ripple_wrapper/work/231d5c19/result.json,mult_ppg_cpa_w4_32_nangate45_40523b9d
mult16s_booth4_sklansky_wrapper,nangate45,0.1971,50.0,0.68,2.5,3752.175025,0.00271,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_booth4_sklansky_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16s_normal_brentkung_wrapper,nangate45,0.2129,10.0,0.55,2.5,18254.7121,0.00244,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_brentkung_wrapper/work/231d5c19/result.json,mult_ppg_cpa_w4_32_nangate45_40523b9d
mult16s_normal_koggestone_wrapper,nangate45,0.1954,60.0,0.68,2.5,3519.455625,0.00417,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_normal_ripple_wrapper,nangate45,2.5324,10.0,0.55,2.5,18773.110225,0.0022,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_ripple_wrapper/work/231d5c19/result.json,mult_ppg_cpa_w4_32_nangate45_40523b9d
mult16s_normal_sklansky_wrapper,nangate45,0.2004,60.0,0.68,2.5,3286.155625,0.00313,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16s_normal_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_booth4_brentkung_wrapper,nangate45,2.3962,50.0,0.68,2.5,3918.76,0.00243,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16u_booth4_koggestone_wrapper,nangate45,0.1941,60.0,0.68,2.5,3487.493025,0.00364,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_booth4_ripple_wrapper,nangate45,2.6116,10.0,0.55,2.5,20149.8025,0.00225,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_ripple_wrapper/work/231d5c19/result.json,mult_ppg_cpa_w4_32_nangate45_40523b9d
mult16u_booth4_sklansky_wrapper,nangate45,0.1943,60.0,0.68,2.5,3372.1249,0.00332,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_brentkung_wrapper,nangate45,2.3013,50.0,0.68,2.5,3775.488025,0.0024,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16u_normal_koggestone_wrapper,nangate45,0.1943,60.0,0.68,2.5,3495.765625,0.00382,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_ripple_wrapper,nangate45,2.5506,50.0,0.68,2.5,3851.4436,0.00209,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16u_normal_sklansky_wrapper,nangate45,0.1989,50.0,0.68,2.5,3972.150625,0.00331,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult16u_normal_sklansky_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
